cluster,wlthindf,latitude,longitude
1,-0.531405,-2.532818,29.684726
2,-0.40983,-1.833858,30.310689
3,-0.478115,-1.888155,29.478298
4,-0.43596,-2.366763,30.521692
5,-0.44948,-2.171266,30.018541
6,-0.11265,-2.036917,30.114591
7,-0.39962,-1.768636,29.799135
8,-0.19558,-1.769425,29.967649
9,2.39554,-1.974834,30.111135
10,0.05646,-2.038221,30.310015
11,-0.233975,-2.021018,30.651838
12,-0.45845,-2.212707,29.921206
13,-0.643445,-2.22724,29.413435
14,-0.50153,-1.912341,29.512758
15,-0.49069,-1.997883,29.631617
16,-0.54898,-2.072847,30.824889
17,-0.41252,-2.116178,29.813837
18,-0.41903,-1.719926,29.555812
19,-0.38006,-2.193395,30.012104
20,-0.46062,-2.372858,29.704832
21,-0.266005,-2.191645,29.290962
22,-0.275315,-2.267461,29.815544
23,3.14126,-1.984298,30.124576
24,-0.4128,-1.640578,29.322453
25,-0.39372,-1.41364,29.73784
26,0.08756,-1.355377,30.414937
27,-0.53943,-1.670937,29.35863
28,-0.49357,-1.64984,29.618431
29,2.215415,-1.957099,30.056542
30,-0.385275,-1.65317,30.391795
31,-0.380515,-1.928112,29.606201
32,-0.23178,-1.807319,30.195201
33,0.19917,-1.860849,30.288849
34,-0.555805,-1.59673,29.383047
35,-0.38261,-2.243706,30.545879
36,-0.32845,-1.429948,30.295583
37,-0.35604,-2.585717,29.667567
38,-0.03633,-1.224948,30.414024
39,-0.167385,-1.407318,30.255418
40,-0.44719,-2.644809,29.625657
41,-0.492,-2.154319,29.592663
42,-0.007955,-2.119264,30.591072
43,-0.5277,-2.65403,29.490941
44,-0.19927,-1.842713,29.96173
45,-0.373225,-1.635746,30.134193
46,1.860625,-1.981685,30.091802
47,-0.66092,-2.766533,29.442456
48,-0.34676,-1.911204,29.688088
49,-0.36711,-1.820759,29.310801
50,-0.39113,-1.522252,29.97244
51,-0.42701,-1.735648,30.350218
52,2.70197,-1.896964,30.078518
53,-0.61453,-2.253763,29.818389
54,-0.58252,-2.660312,29.488456
55,-0.30881,-2.036321,30.567216
56,2.349945,-1.944695,30.027642
57,1.70097,-1.941357,30.117212
58,-0.27617,-1.506785,29.937149
59,-0.366825,-1.724432,30.446297
60,2.667715,-1.680382,29.265095
61,-0.07593,-2.384913,30.130896
62,-0.44492,-1.663928,30.03893
63,-0.31336,-1.382059,30.186242
64,-0.242095,-1.464185,30.188365
65,-0.179475,-2.275269,30.632707
66,-0.42851,-1.604421,29.663306
67,-0.340905,-1.69445,29.29384
68,-0.247665,-1.40633,30.061457
69,-0.3745,-2.619375,29.520306
70,2.24541,-1.961753,30.148305
71,-0.44135,-1.532891,29.896194
72,-0.577145,-1.677144,29.300913
73,-0.40432,-1.525402,29.393545
74,-0.430845,-1.699055,29.750063
75,-0.424585,-2.281564,29.67166
76,3.1974,-1.984379,30.114562
77,-0.5743,-1.826279,29.500459
78,-0.54728,-1.873284,29.402976
79,-0.306075,-2.196906,29.705179
80,2.420615,-1.919394,30.063068
81,-0.32712,-2.32428,29.24687
82,-0.47526,-2.156734,29.58157
83,-0.604045,-2.543825,29.487188
84,-0.46489,-2.24475,30.369448
85,-0.63728,-2.762775,29.682687
86,-0.19482,-1.6394,29.386458
87,2.00301,-1.977328,30.072169
88,2.779135,-1.95365,30.139626
89,-0.44199,-2.474959,29.838132
90,-0.6447,-2.428076,29.462497
91,-0.433545,-2.357266,29.802312
92,-0.369395,-1.559758,29.558065
93,-0.23469,-1.631198,30.363397
94,-0.447865,-2.104501,29.436317
95,-0.38404,-2.208816,29.628509
96,-0.43945,-1.79213,29.624638
97,-0.496245,-1.595625,29.571792
98,-0.43298,-1.919092,30.580089
99,1.252685,-1.968977,30.063375
100,-0.39515,-2.089516,29.390751
101,-0.39961,-2.660932,29.833817
102,-0.58809,-2.466248,29.780193
103,-0.26456,-1.941192,29.879028
104,-0.45561,-2.189393,29.376622
105,-0.787645,-2.576043,29.741134
106,-0.4556,-2.27699,29.801138
107,3.33664,-1.940151,30.144472
108,-0.36841,-2.106086,29.896746
109,-0.630245,-1.693164,29.370811
110,-0.22189,-1.099347,30.414611
111,2.24166,-1.978592,30.061431
112,-0.374865,-1.688129,30.076672
113,-0.54409,-2.709533,29.472353
114,-0.079745,-2.040137,30.029044
115,0.77875,-1.723058,29.505491
116,-0.37708,-1.844282,29.411107
117,-0.411275,-2.507886,29.090533
118,-0.35406,-2.139863,29.690493
119,-0.407315,-1.505122,30.218895
120,-0.35844,-1.774679,30.154405
121,1.30537,-1.940534,30.055079
122,0.572205,-1.585452,30.309967
123,-0.479895,-2.515693,29.646142
124,-0.401235,-1.768044,30.163513
125,-0.27022,-2.305046,30.628462
126,-0.560705,-1.486921,29.488298
127,-0.57474,-1.555831,29.883326
128,1.28826,-1.501343,29.63039
129,-0.3479,-2.19057,29.944765
130,-0.59506,-2.711069,29.728344
131,2.64246,-1.990186,30.098831
132,-0.260125,-1.859734,29.79074
133,-0.44385,-1.554227,29.923283
134,1.92084,-1.974412,30.089289
135,-0.40931,-1.679763,29.704893
136,-0.29763,-1.877191,29.313049
137,-0.31063,-1.53765,29.626807
138,-0.46111,-1.681372,29.321231
139,-0.51493,-1.583996,29.814668
140,-0.55042,-2.449083,29.398886
141,-0.504985,-1.627679,29.362558
142,-0.451445,-2.130811,29.677116
143,-0.12763,-2.550852,29.849937
144,-0.42015,-2.021185,29.713286
145,-0.12519,-2.05891,30.375953
146,0.974485,-1.965807,30.221206
147,-0.31329,-1.958832,30.527585
148,-0.366345,-1.547463,29.6574
149,-0.334985,-1.789266,30.177475
150,-0.96732,-2.452764,29.573641
151,-0.37203,-2.400068,28.995509
152,-0.48619,-1.597761,29.969942
153,-0.41968,-1.726329,29.499088
154,-0.39344,-1.850826,29.340078
155,-0.49119,-2.159884,30.033763
156,-0.45831,-2.589906,28.970809
157,-0.24608,-1.552253,29.755848
158,-0.91836,-2.298738,29.74197
159,-0.246115,-1.827347,30.235609
160,-0.2184,-1.361823,30.28163
161,-0.31482,-1.995445,29.41455
162,-0.48981,-1.927856,29.604681
163,-0.27311,-1.777182,30.044029
164,-0.49768,-2.752702,29.495145
165,-0.1627,-1.992365,30.31009
166,2.19107,-1.949591,30.440808
167,-0.18182,-2.387603,29.067239
168,2.4126,-1.937687,30.047714
169,-0.35969,-1.697388,29.637663
170,-0.231235,-2.260028,30.199794
171,0.002855,-2.485561,28.926768
172,-0.24251,-1.100359,30.389542
173,2.15909,-1.95637,30.104393
174,-0.56477,-2.416729,29.532057
175,-0.12552,-1.918798,30.449934
176,-0.50591,-1.637594,29.633267
177,-0.20199,-1.782677,30.080122
178,-0.43075,-2.116101,30.450414
179,-0.652175,-2.206809,29.819907
180,-0.34581,-1.756319,29.582376
181,-0.42192,-2.607346,29.229031
182,-0.4494,-2.434632,29.787211
183,-0.42233,-1.439182,29.710516
184,-0.31204,-2.099755,30.481972
185,-0.23937,-1.956045,30.287383
186,-0.431305,-2.587721,29.768941
187,0.164725,-1.43971,30.322471
188,-0.255225,-1.975029,29.927419
189,-0.02544,-2.338016,29.123901
190,-0.26787,-2.523384,29.022046
191,-0.330275,-1.72052,29.646694
192,-0.402105,-2.214713,30.727983
193,2.48492,-1.970528,30.056039
194,-0.35602,-1.85497,30.558896
195,2.25449,-1.954061,30.077749
196,2.81979,-1.977357,30.058601
197,0.28436,-2.635716,29.715013
198,-0.43299,-2.327561,29.047354
199,-0.41624,-1.963233,29.331311
200,-0.393395,-2.042049,29.812083
201,-0.275825,-1.441507,30.422287
202,-0.30193,-1.836542,30.095517
203,-0.384875,-2.32237,30.509814
204,-0.423375,-2.525109,28.921811
205,-0.32099,-1.358829,29.813962
206,1.00952,-1.955189,30.011056
207,-0.44551,-2.371748,29.585916
208,-0.41358,-1.67449,29.559536
209,-0.425215,-2.16145,29.254779
210,-0.33251,-2.213988,30.59361
211,-0.81199,-2.188292,29.774608
212,-0.59847,-1.932437,30.485088
213,0.90066,-2.360084,29.751587
214,0.35544,-1.99905,30.545979
215,-0.422745,-2.238794,29.370061
216,-0.40971,-1.676138,29.872053
217,-0.29124,-1.436562,30.01549
218,-0.181115,-2.224453,30.731484
219,-0.62031,-2.733294,29.569965
220,-0.4931,-2.545912,29.608434
221,-0.614755,-2.760754,29.849705
222,-0.23881,-1.297459,30.242161
223,1.32605,-2.083065,29.756049
224,-0.27751,-2.226654,30.421977
225,-0.46649,-2.149959,30.850353
226,-0.315615,-2.287563,30.117009
227,-0.499155,-1.526805,29.577855
228,-0.173435,-2.183866,30.180127
229,-0.63163,-2.661043,29.795864
230,-0.37001,-2.057712,29.909006
231,1.80585,-1.975464,30.088097
232,-0.38755,-2.276934,30.036967
233,-0.22832,-1.606749,30.427247
234,-0.68306,-2.789598,29.744879
235,2.968225,-1.949707,30.111272
236,-0.38766,-1.869571,29.710591
237,-0.47738,-2.262296,29.877543
238,-0.0885,-2.235567,30.535659
239,-0.434955,-1.728849,29.754761
240,-0.3978,-1.676442,30.137929
241,-0.255355,-2.658062,28.910435
242,-0.59136,-2.758512,29.662263
243,-0.38467,-1.826784,29.723557
244,2.12848,-1.974003,30.041225
245,-0.36239,-2.1252,29.467963
246,-0.455855,-2.08,29.690313
247,-0.34507,-1.396914,30.1187
248,-0.62987,-2.64997,29.888781
249,-0.46531,-2.596514,28.971476
250,-0.44,-1.735861,30.00618
251,-0.20526,-1.894967,30.051481
252,-0.23927,-1.993029,29.976325
253,-0.00794,-1.487486,29.629335
254,-0.06603,-1.792265,30.482348
255,-0.50996,-1.553064,29.788937
256,-0.24099,-2.09954,30.622315
257,-0.187745,-1.638167,30.448602
258,2.50211,-2.480914,28.913307
259,-0.24344,-1.868541,30.586832
260,-0.774805,-1.574011,30.018136
261,-0.631775,-2.455755,29.429881
262,-0.36802,-2.180477,29.423007
263,-0.23793,-2.250716,30.811263
264,2.350095,-1.936839,30.035471
265,-0.52447,-1.972804,29.644635
266,-0.55144,-2.444893,29.584107
267,-0.42073,-2.21051,29.83616
268,-0.37288,-2.036767,29.975852
269,-0.59495,-2.497832,29.743853
270,-0.40327,-2.578438,29.772664
