cluster,wlthindf,latitude,longitude
1,-0.531405,-2.5328180000000002,29.684726
2,-0.40983,-1.8338580000000002,30.310689
3,-0.478115,-1.888155,29.478298
4,-0.43596,-2.366763,30.521691999999998
5,-0.44948,-2.171266,30.018541
6,-0.11265,-2.036917,30.114590999999997
7,-0.39962,-1.768636,29.799134999999996
8,-0.19558,-1.769425,29.967648999999998
9,2.39554,-1.974834,30.111134999999997
10,0.05646,-2.038221,30.310015000000003
11,-0.233975,-2.021018,30.651838
12,-0.45845,-2.212707,29.921206
13,-0.643445,-2.22724,29.413434999999996
14,-0.50153,-1.912341,29.512758
15,-0.49069,-1.997883,29.631617
16,-0.54898,-2.0728470000000003,30.824889000000002
17,-0.41252,-2.1161779999999997,29.813837
18,-0.41903,-1.7199259999999998,29.555812
19,-0.38006,-2.193395,30.012103999999997
20,-0.46062000000000003,-2.3728580000000004,29.704832
21,-0.266005,-2.1916450000000003,29.290962
22,-0.275315,-2.267461,29.815544
23,3.14126,-1.984298,30.124576
24,-0.4128,-1.6405779999999999,29.322453000000003
25,-0.39372,-1.41364,29.737840000000002
26,0.08756,-1.355377,30.414937
27,-0.5394300000000001,-1.670937,29.358629999999998
28,-0.49357,-1.6498400000000002,29.618431
29,2.215415,-1.9570990000000001,30.056541999999997
30,-0.385275,-1.65317,30.391795000000002
31,-0.380515,-1.9281119999999998,29.606201000000002
32,-0.23178,-1.807319,30.195201
33,0.19917,-1.8608490000000002,30.288849
34,-0.555805,-1.59673,29.383046999999998
35,-0.38261,-2.243706,30.545879
36,-0.32845,-1.429948,30.295583
37,-0.35604,-2.585717,29.667567
38,-0.03633,-1.224948,30.414023999999998
39,-0.167385,-1.407318,30.255418
40,-0.44719,-2.644809,29.625657
41,-0.492,-2.1543189999999997,29.592663
42,-0.007955000000000004,-2.119264,30.591071999999997
43,-0.5277,-2.65403,29.490940999999996
44,-0.19927,-1.842713,29.96173
45,-0.37322500000000003,-1.635746,30.134193
46,1.860625,-1.981685,30.091802
47,-0.66092,-2.7665330000000004,29.442456
48,-0.34676,-1.9112040000000001,29.688088
49,-0.36711000000000005,-1.820759,29.310801
50,-0.39113,-1.522252,29.972440000000002
51,-0.42701,-1.7356479999999999,30.350217999999998
52,2.70197,-1.8969639999999999,30.078518
53,-0.61453,-2.253763,29.818389
54,-0.5825199999999999,-2.660312,29.488456
55,-0.30881,-2.036321,30.567216
56,2.349945,-1.944695,30.027641999999997
57,1.70097,-1.941357,30.117212
58,-0.27617,-1.506785,29.937148999999998
59,-0.366825,-1.724432,30.446296999999998
60,2.667715,-1.680382,29.265095000000002
61,-0.07593,-2.384913,30.130896000000003
62,-0.44492,-1.6639279999999999,30.03893
63,-0.31335999999999997,-1.382059,30.186242
64,-0.242095,-1.464185,30.188365
65,-0.179475,-2.2752689999999998,30.632707
66,-0.42851,-1.6044209999999999,29.663306
67,-0.340905,-1.69445,29.293840000000003
68,-0.247665,-1.4063299999999999,30.061457
69,-0.3745,-2.619375,29.520306
70,2.24541,-1.9617529999999999,30.148305
71,-0.44135,-1.532891,29.896194
72,-0.577145,-1.677144,29.300913
73,-0.40432,-1.5254020000000001,29.393545
74,-0.43084500000000003,-1.699055,29.750063
75,-0.424585,-2.281564,29.67166
76,3.1974,-1.9843790000000001,30.114562
77,-0.5743,-1.826279,29.500459000000003
78,-0.54728,-1.873284,29.402976000000002
79,-0.306075,-2.1969060000000002,29.705178999999998
80,2.420615,-1.9193939999999998,30.063067999999998
81,-0.32712,-2.32428,29.24687
82,-0.47526,-2.156734,29.581570000000003
83,-0.6040449999999999,-2.543825,29.487188
84,-0.46489,-2.24475,30.369448
85,-0.6372800000000001,-2.762775,29.682686999999998
